training_size,method,failure_rate,finite_interval_available,interval_condition_circuit_joint_coverage,interval_mean_width,mae,p95_absolute_error,rmse,worst_family_mae,worst_noise_family_mae,worst_shot_budget_mae,worst_strength_mae,paired_difference,ci_low,ci_high
32,noisy_sampled,0.0,False,,,0.07959049940109253,0.29550662636756897,0.13266395032405853,0.11533936858177185,0.10086224973201752,0.10329211503267288,0.1357416808605194,,,
32,raw_cell_affine,0.511012249228395,False,,,0.08211591664891797,0.2970503345131873,0.13414593420823845,0.11609713787442032,0.09877225175756768,0.10794644519253563,0.14288190778391346,0.0025254112981050736,0.0018442115985610771,0.0032526090807362394
32,rf,0.6610532407407408,False,,,0.20632799121572626,0.7175274540111423,0.3143477755477496,0.33448214690081524,0.21531085218015913,0.2089288983975116,0.22428569812324908,,,
32,safe_cell_simplex,0.2603877314814815,False,,,0.0803735655361751,0.29758256099109415,0.13340836387221924,0.11717044298226824,0.10187373188280271,0.10439646478644357,0.1361483934562584,0.0007830601853622085,0.0005727442315688774,0.0010077814481228443
32,safe_ridge,0.5958719135802469,False,,,0.09212299976894031,0.31147275621176473,0.14329055372427524,0.12964619463431212,0.11065463982632148,0.11261993481228737,0.142104816583391,0.012532494418127404,0.01108218401534018,0.014083827355679295
32,safe_simplex,0.2866970486111111,False,,,0.0801707234636647,0.296208448507633,0.13303234493674565,0.11662586965971321,0.10167079140160598,0.10336913530164181,0.1359477323249555,0.0005802181128518064,0.0004179256139210137,0.0007575575303378726
32,simplex,0.6710407021604938,False,,,0.20507549044803927,0.7133472037770737,0.31127853340333456,0.33376410873386825,0.2142411723086685,0.20762619009786976,0.22294652340960455,0.12548498509722636,0.11748926774732943,0.1334985009810968
64,noisy_sampled,0.0,True,0.939207175925926,0.7397137879911396,0.07959049940109253,0.29550662636756897,0.13266395032405853,0.11533936858177185,0.10086224973201752,0.10329211503267288,0.1357416808605194,,,
64,raw_cell_affine,0.48992573302469133,True,0.9403935185185185,0.72619309313854,0.07957142541710231,0.2845329046249387,0.13011083139159502,0.11140631685206874,0.09524640869331694,0.10460192457464211,0.13620124498857347,-1.90799337105918e-05,-0.00045903491053031617,0.00042087545995787314
64,rf,0.602295524691358,True,0.9440972222222223,1.574084073632716,0.15544358764240615,0.534584910838108,0.24041949737227558,0.2352510509002029,0.16699000081585458,0.16016585650366943,0.18164444907731456,,,
