scenario,label,method,base_circuits,rows,noisy_mae,candidate_mae,paired_difference,ci_low,ci_high,p_value,signflip_draws,p_value_at_sampling_floor,failure_rate,coverage90,interval_width,q_value_bh_11_tests,p_value_holm_11_tests
circuit_family,hardware_efficient,safe_simplex,240,25920,0.06133360043168068,0.07699432515891802,0.015660722459599805,0.014077326464800834,0.017324438374043502,9.999000099990002e-05,10000,True,0.6357928240740741,0.9236111111111112,0.6344739389397377,0.0001571271444284143,0.0010998900109989002
circuit_family,ising_trotter,safe_simplex,240,25920,0.11533936113119125,0.1336222972726706,0.01828293438449726,0.016051775928567075,0.020539886354271907,9.999000099990002e-05,10000,True,0.6412519290123457,0.6620370370370371,0.5803983951651674,0.0001571271444284143,0.0010998900109989002
circuit_family,random_clifford,safe_simplex,240,25920,0.04403430223464966,0.04915143903907139,0.005117137005412205,0.004568140807335473,0.005680702120070609,9.999000099990002e-05,10000,True,0.597608024691358,0.9664351851851852,0.6210881660395214,0.0001571271444284143,0.0010998900109989002
circuit_family,warm_start_qaoa,safe_simplex,240,25920,0.09765475243330002,0.10350523575053008,0.005850481968429197,0.0039006302507216726,0.007932980423886026,9.999000099990002e-05,10000,True,0.5260898919753086,0.7755787037037037,0.5927646771828134,0.0001571271444284143,0.0010998900109989002
deep_circuits,layers_7_8,safe_simplex,240,25920,0.10060391575098038,0.09926899218216313,-0.001334924398995003,-0.0030392550628832366,0.0004434539959982789,0.1401859814018598,10000,False,0.4345968364197531,0.7243055555555555,0.547798241607256,0.1713384217133842,0.5087491250874913
noise_family,coherent_overrotation,safe_simplex,960,34560,0.05749048665165901,0.06281288607869821,0.005322398745700073,0.0041556359697650334,0.006506083178206338,9.999000099990002e-05,10000,True,0.49386574074074074,0.9982638888888888,1.4661680808917052,0.0001571271444284143,0.0010998900109989002
noise_family,damping_dephasing,safe_simplex,960,34560,0.08041878044605255,0.08026341007874557,-0.00015537085162090346,-0.0011209207007149065,0.00079493385605469,0.7441255874412559,10000,False,0.4302951388888889,0.9857638888888889,1.3891975422044638,0.7441255874412559,0.7441255874412559
noise_family,depolarizing_readout,safe_simplex,960,34560,0.10086224973201752,0.10160918881494845,0.0007469410258743665,-0.00019564143813334103,0.0017049589114222822,0.12718728127187282,10000,False,0.43551070601851855,0.9660590277777777,1.2870371674451984,0.1713384217133842,0.5087491250874913
noise_strength,2,safe_simplex,960,34560,0.1357416808605194,0.1299728942059111,-0.005768794553105781,-0.006437920312710721,-0.005088173156944743,9.999000099990002e-05,10000,True,0.368041087962963,0.7951388888888888,0.8218240935388562,0.0001571271444284143,0.0010998900109989002
shot_budget,128,safe_simplex,960,25920,0.10329211503267288,0.09833755961407853,-0.004954558448806127,-0.005889399592199941,-0.004015640520974581,9.999000099990002e-05,10000,True,0.405150462962963,0.9799768518518519,1.3358349833179741,0.0001571271444284143,0.0010998900109989002
observable,two_qubit_ZZ,safe_simplex,960,207360,0.08649169653654099,0.08783637704236989,0.001344679410325983,-0.0005108036262557795,0.003285989939616475,0.1690830916908309,10000,False,0.4640962577160494,0.91875,1.4005397172894598,0.185991400859914,0.5087491250874913
