method,metric,maximum,mean,minimum,sample_sd
rf,mae,0.09265548466965158,0.09243678903553221,0.09228135920210599,0.00018932388256848043
rf,failure_rate,0.49083719135802467,0.4900858410493827,0.48920476466049384,0.000761686270882682
rf,p95_absolute_error,0.3279132051728664,0.3266171307332099,0.3235155465831048,0.0018523076523316146
safe_simplex,mae,0.07803129972307775,0.07795074918121464,0.07790631006368055,5.035101696694407e-05
safe_simplex,failure_rate,0.4216893325617284,0.42058111496913575,0.4185884452160494,0.001236253459013811
safe_simplex,p95_absolute_error,0.2852880356500384,0.28505898800673923,0.2846043455574538,0.00027606562130853504
safe_ridge,mae,0.07773649824354678,0.07762755434970019,0.07744664978438154,0.00011343141578372102
safe_ridge,failure_rate,0.4588662229938272,0.45750868055555555,0.4553988233024691,0.001392828817383505
safe_ridge,p95_absolute_error,0.27651546930074505,0.27611542850400334,0.27547948819343804,0.0004289847581736727
safe_cell_simplex,mae,0.07527007433243654,0.07519242110801941,0.07505260529842166,9.022549582487993e-05
safe_cell_simplex,failure_rate,0.40316358024691357,0.4023760609567901,0.4017867476851852,0.0005636242040801422
safe_cell_simplex,p95_absolute_error,0.2802582153282081,0.2797022014716283,0.2791268259888401,0.00040345299249124067
