dataset,method,mae,rmse,p95_absolute_error,failure_rate,physical_range_violation_rate
ising_coherent,rf,0.09490028014357679,0.17825603725306483,0.40876943295824636,0.3051388888888889,0.0
ising_coherent,mean,0.11641912800479723,0.18889822054275393,0.4208060664848412,0.39669444444444446,0.0025833333333333333
ising_coherent,median,0.1135581594723383,0.18438837677540054,0.4105804763863431,0.38605555555555554,0.002611111111111111
ising_coherent,simplex,0.09934164307525672,0.1752876405178184,0.3952113523472954,0.31033333333333335,0.0025833333333333333
ising_coherent,ridge,0.10045597214168349,0.17435241096788998,0.39533518577729426,0.32530555555555557,0.0
ising_incoherent,rf,0.056134673766829,0.10433835446253543,0.23255103298767357,0.212,0.0
ising_incoherent,mean,0.07148729553424814,0.12063882536810004,0.2678518840464588,0.2861944444444444,0.0035833333333333333
ising_incoherent,median,0.07039546471602946,0.1198640485776224,0.2653943803642689,0.2668888888888889,0.0035555555555555557
ising_incoherent,simplex,0.056231441378993524,0.10395487179503814,0.23242002865330197,0.21858333333333332,0.0015
ising_incoherent,ridge,0.05834549730957512,0.10003330262922758,0.22165715294386998,0.24369444444444444,0.0057777777777777775
ising_no_readout,rf,0.054261328584320576,0.10150602099232651,0.22930593346963996,0.26075,0.0
ising_no_readout,mean,0.06907075968528001,0.11682717647622892,0.262412157620086,0.37733333333333335,0.003138888888888889
ising_no_readout,median,0.06816982003132394,0.11685995999099734,0.26138247355843525,0.3565,0.003111111111111111
ising_no_readout,simplex,0.05421214881712562,0.10108931499717039,0.22753673493744597,0.2708055555555556,0.0011666666666666668
ising_no_readout,ridge,0.05596221942405272,0.09799338207185886,0.21599239590541058,0.31877777777777777,0.0030555555555555557
random,rf,0.030536655275829903,0.04615400234629917,0.10171130009105891,0.21430360721442887,0.0
random,mean,0.03444434618840799,0.04957429673218164,0.10795663061663502,0.19200901803607215,0.10884268537074149
random,median,0.03342464020336419,0.04871111712650852,0.10538541384369134,0.19626753507014028,0.09907314629258517
random,simplex,0.031226386781192793,0.04539957379596805,0.09864841844322203,0.21492985971943887,0.0969438877755511
random,ridge,0.03130031275162626,0.045413787822657724,0.09854680755956775,0.21430360721442887,0.10671342685370741
